Nombres,links
Aardonyx,https://prehistoria.fandom.com/es/wiki/Aardonyx
Abdarainurus,https://prehistoria.fandom.com/es/wiki/Abdarainurus
Abelisauridae,https://prehistoria.fandom.com/es/wiki/Abelisauridae
Abelisaurinae,https://prehistoria.fandom.com/es/wiki/Abelisaurinae
Abelisauroidea,https://prehistoria.fandom.com/es/wiki/Abelisauroidea
Abelisaurus,https://prehistoria.fandom.com/es/wiki/Abelisaurus
Abrictosaurus,https://prehistoria.fandom.com/es/wiki/Abrictosaurus
Abrosaurus,https://prehistoria.fandom.com/es/wiki/Abrosaurus
Abydosaurus mcintoshi,https://prehistoria.fandom.com/es/wiki/Abydosaurus_mcintoshi
Acantholipan gonzalezi,https://prehistoria.fandom.com/es/wiki/Acantholipan_gonzalezi
Acanthopholis,https://prehistoria.fandom.com/es/wiki/Acanthopholis
Achelousaurus,https://prehistoria.fandom.com/es/wiki/Achelousaurus
Acheroraptor temertyorum,https://prehistoria.fandom.com/es/wiki/Acheroraptor_temertyorum
Achillesaurus,https://prehistoria.fandom.com/es/wiki/Achillesaurus
Achillobator,https://prehistoria.fandom.com/es/wiki/Achillobator
Acristavus,https://prehistoria.fandom.com/es/wiki/Acristavus
Acrocanthosaurus,https://prehistoria.fandom.com/es/wiki/Acrocanthosaurus
Acrotholus,https://prehistoria.fandom.com/es/wiki/Acrotholus
Adamantisaurus,https://prehistoria.fandom.com/es/wiki/Adamantisaurus
Adasaurus,https://prehistoria.fandom.com/es/wiki/Adasaurus
Adeopapposaurus,https://prehistoria.fandom.com/es/wiki/Adeopapposaurus
Adratiklit,https://prehistoria.fandom.com/es/wiki/Adratiklit
Adynomosaurus,https://prehistoria.fandom.com/es/wiki/Adynomosaurus
Aegyptosaurus,https://prehistoria.fandom.com/es/wiki/Aegyptosaurus
Aelosaurus,https://prehistoria.fandom.com/es/wiki/Aelosaurus
Aeolosaurus,https://prehistoria.fandom.com/es/wiki/Aeolosaurus
Aepisaurus,https://prehistoria.fandom.com/es/wiki/Aepisaurus
Aerosteon,https://prehistoria.fandom.com/es/wiki/Aerosteon
Afrovenator abakensis,https://prehistoria.fandom.com/es/wiki/Afrovenator_abakensis
Agathaumas,https://prehistoria.fandom.com/es/wiki/Agathaumas
Agilisaurus,https://prehistoria.fandom.com/es/wiki/Agilisaurus
Agnosphitys,https://prehistoria.fandom.com/es/wiki/Agnosphitys
Agrosaurus,https://prehistoria.fandom.com/es/wiki/Agrosaurus
Agujaceratops,https://prehistoria.fandom.com/es/wiki/Agujaceratops
Agustinia,https://prehistoria.fandom.com/es/wiki/Agustinia
Ahshislepelta,https://prehistoria.fandom.com/es/wiki/Ahshislepelta
Ajancingenia,https://prehistoria.fandom.com/es/wiki/Ajancingenia
Ajkaceratops,https://prehistoria.fandom.com/es/wiki/Ajkaceratops
Ajnabia,https://prehistoria.fandom.com/es/wiki/Ajnabia
Alamosaurus,https://prehistoria.fandom.com/es/wiki/Alamosaurus
Alaskacephale,https://prehistoria.fandom.com/es/wiki/Alaskacephale
Albalophosaurus,https://prehistoria.fandom.com/es/wiki/Albalophosaurus
Albertaceratops,https://prehistoria.fandom.com/es/wiki/Albertaceratops
Albertadromeus,https://prehistoria.fandom.com/es/wiki/Albertadromeus
Albertavenator,https://prehistoria.fandom.com/es/wiki/Albertavenator
Albertonykus,https://prehistoria.fandom.com/es/wiki/Albertonykus
Albertosaurinae,https://prehistoria.fandom.com/es/wiki/Albertosaurinae
Albertosaurus,https://prehistoria.fandom.com/es/wiki/Albertosaurus
Albinykus,https://prehistoria.fandom.com/es/wiki/Albinykus
Alcovasaurus,https://prehistoria.fandom.com/es/wiki/Alcovasaurus
Alectrosaurus,https://prehistoria.fandom.com/es/wiki/Alectrosaurus
Aletopelta,https://prehistoria.fandom.com/es/wiki/Aletopelta
Algoasaurus bauri,https://prehistoria.fandom.com/es/wiki/Algoasaurus_bauri
Alioramus,https://prehistoria.fandom.com/es/wiki/Alioramus
Aliwalia,https://prehistoria.fandom.com/es/wiki/Aliwalia
Allosauridae,https://prehistoria.fandom.com/es/wiki/Allosauridae
Allosauroidea,https://prehistoria.fandom.com/es/wiki/Allosauroidea
