name,diet,period_name,period_year(million_years_ago),continent,lived_in,type,length,named_by,Altura,Peso,_merge
aardonyx,herbivorous,Early Jurassic,199-189,Africa,South Africa,sauropod,8.0,Yates Bonnan Neveling Chinsamy and Blackbeard 2010 (2009),1.8 metros,450 kilos,both
abelisaurus,carnivorous,Late Cretaceous,74-70,America del Sur,Argentina,large theropod,9.0,Bonaparte and Novas (1985),2 metros,3000 kilos,both
achelousaurus,herbivorous,Late Cretaceous,83-70,América del Norte,USA,ceratopsian,6.0,Sampson  (1995),3 metros,3000 kilos,both
achillobator,carnivorous,Late Cretaceous,99-84,Asia,Mongolia,large theropod,5.0,Perle Norell and Clark (1999),2 metros,550 kilos,both
acrocanthosaurus,carnivorous,Early Cretaceous,115-105,América del Norte,USA,large theropod,12.0,Stovall and Langston (1950),,,both
aegyptosaurus,herbivorous,Late Cretaceous,98-93,Africa,Egypt,sauropod,15.0,Stromer (1932),5 metros,10500 kilos,both
afrovenator,carnivorous,Early Cretaceous,132-121,Africa,Niger,large theropod,9.0,Sereno Wilson Larsson Dutheil and Sues (1944),1 metros,1000 kilos,both
agilisaurus,herbivorous,Late Jurassic,169-159,Asia,China,euornithopod,1.5,Peng (1990),0.6 metros,40 kilos,both
alamosaurus,herbivorous,Late Cretaceous,70-65,América del Norte,USA,sauropod,21.0,Gilmore (1922),13 metros,50000 kilos,both
albertaceratops,herbivorous,Late Cretaceous,80-75,América del Norte,USA,ceratopsian,7.0,Ryan 2007,2 metros,3500 kilos,both
albertosaurus,carnivorous,Late Cretaceous,76-74,América del Norte,Canada,large theropod,9.0,Lamb (1914),3 metros,2500 kilos,both
alectrosaurus,carnivorous,Late Cretaceous,90-70,Asia,Mongolia,large theropod,5.0,Gilmore (1933),2 metros,1000 kilos,both
alioramus,carnivorous,Late Cretaceous,71-65,Asia,Mongolia,large theropod,6.0,Kurzanov (1976),2 metros,1000 kilos,both
