name,diet,period_name,period_year(million_years_ago),continent,lived_in,type,length,named_by
aardonyx,herbivorous,Early Jurassic,199-189,Africa,South Africa,sauropod,8.0,Yates Bonnan Neveling Chinsamy and Blackbeard 2010 (2009)
abelisaurus,carnivorous,Late Cretaceous,74-70,America del Sur,Argentina,large theropod,9.0,Bonaparte and Novas (1985)
achelousaurus,herbivorous,Late Cretaceous,83-70,América del Norte,USA,ceratopsian,6.0,Sampson  (1995)
achillobator,carnivorous,Late Cretaceous,99-84,Asia,Mongolia,large theropod,5.0,Perle Norell and Clark (1999)
acrocanthosaurus,carnivorous,Early Cretaceous,115-105,América del Norte,USA,large theropod,12.0,Stovall and Langston (1950)
aegyptosaurus,herbivorous,Late Cretaceous,98-93,Africa,Egypt,sauropod,15.0,Stromer (1932)
afrovenator,carnivorous,Early Cretaceous,132-121,Africa,Niger,large theropod,9.0,Sereno Wilson Larsson Dutheil and Sues (1944)
agilisaurus,herbivorous,Late Jurassic,169-159,Asia,China,euornithopod,1.5,Peng (1990)
alamosaurus,herbivorous,Late Cretaceous,70-65,América del Norte,USA,sauropod,21.0,Gilmore (1922)
albertaceratops,herbivorous,Late Cretaceous,80-75,América del Norte,USA,ceratopsian,7.0,Ryan 2007
albertosaurus,carnivorous,Late Cretaceous,76-74,América del Norte,Canada,large theropod,9.0,Lamb (1914)
alectrosaurus,carnivorous,Late Cretaceous,90-70,Asia,Mongolia,large theropod,5.0,Gilmore (1933)
alioramus,carnivorous,Late Cretaceous,71-65,Asia,Mongolia,large theropod,6.0,Kurzanov (1976)
allosaurus,carnivorous,Late Jurassic,156-144,América del Norte,USA,large theropod,12.0,Marsh (1877)
alvarezsaurus,carnivorous,Late Cretaceous,89-85,America del Sur,Argentina,small theropod,2.0,Bonaparte (1991)
amargasaurus,herbivorous,Early Cretaceous,132-127,America del Sur,Argentina,sauropod,12.0,Salgado and Bonaparte (1991)
ammosaurus,herbivorous,Early Jurassic,195-180,América del Norte,USA,sauropod,5.0,Marsh (1891)
ampelosaurus,herbivorous,Late Cretaceous,71-65,Europa,France,sauropod,15.0,Le Loeuff (1995)
amygdalodon,herbivorous,Mid Jurassic,177-169,America del Sur,Argentina,sauropod,15.0,Cabrera (1947)
anchiceratops,herbivorous,Late Cretaceous,74-70,América del Norte,Canada,ceratopsian,6.0,Brown (1914)
anchisaurus,herbivorous,Early Jurassic,190,América del Norte,USA,sauropod,2.0,Marsh (1885)
ankylosaurus,herbivorous,Late Cretaceous,74-67,América del Norte,USA,armoured dinosaur,7.0,Brown (1908)
anserimimus,carnivorous,Late Cretaceous,84-65,Asia,Mongolia,large theropod,3.5,Barsbold (1988)
