Nombre,Altura,Peso
Aardonyx,1.8 metros,450 kilos
Abelisaurus,2 metros,3000 kilos
Achelousaurus,3 metros,3000 kilos
Achillobator,2 metros,550 kilos
Acrocanthosaurus,,
Aegyptosaurus,5 metros,10500 kilos
Afrovenator,1 metros,1000 kilos
Agilisaurus,0.6 metros,40 kilos
Alamosaurus,13 metros,50000 kilos
Albertaceratops,2 metros,3500 kilos
Albertosaurus,3 metros,2500 kilos
Alectrosaurus,2 metros,1000 kilos
Alioramus,2 metros,1000 kilos
Allosaurio,3 metros,2000 kilos
Alvarezsaurus,1.1 metros,3 kilos
Amargasaurus,3 metros,3000 kilos
Ammosaurus,4 metros,70 kilos
Ampelosaurus,5 metros,800 kilos
Amygdalodon,4 metros,5000 kilos
Anchiceratops,2 metros,1200 kilos
Anchisaurus,0.5 metros,27 kilos
Ankylosaurus,1.7 metros,8000 kilos
Anserimimus,,50 kilos
Antarctosaurus,4.5 metros,34000 kilos
Apatosaurus,5 metros,22000 kilos
Aragosaurus,4.5 metros,28000 kilos
Aralosaurus,2.6 metros,5000 kilos
Archaeoceratops,0.23 metros,5 kilos
Archaeopteryx,0.2 metros,1 kilos
Archaeornithomimus,1.8 metros,50 kilos
Argentinosaurus,21.4 metros,100000 kilos
Arrhinoceratops,2 metros,1800 kilos
Atlascopcosaurus,1 metros,120 kilos
Aucasaurus,2.4 metros,700 kilos
Austrosaurus,3.9 metros,16000 kilos
Avaceratops,1.3 metros,318 kilos
Avimimus,0.9 metros,15 kilos
Bactrosaurus,2 metros,1500 kilos
Bagaceratops,0.5 metros,10 kilos
Bambiraptor,0.9 metros,6350 kilos
Barapasaurus,18 metros,1800 kilos
Barosaurus,12 metros,20000 kilos
Baryonyx,2.5 metros,1700 kilos
Becklespinax,3 metros,900 kilos
Beipiaosaurus,2.9 metros,85 kilos
Bellusaurus,1.5 metros,450 kilos
Borogovia,0.7 metros,20 kilos
Brachiosaurus,9.4 metros,52600 kilos
Brachylophosaurus,2.8 metros,6990 kilos
Brachytrachelopan,,9000 kilos
Buitreraptor,2.4 metros,3 kilos
Camarasaurus,4.6 metros,20000 kilos
Camptosaurus,2 metros,2500 kilos
Carcharodontosaurus,4.3 metros,15000 kilos
Carnotaurus,3 metros,1350 kilos
Caudipteryx,0.7 metros,7 kilos
Cedarpelta,3 metros,5000 kilos
Centrosaurus,1.8 metros,2700 kilos
Ceratosaurus,4 metros,980 kilos
Cetiosauriscus,1.36 metros,8900 kilos
Cetiosaurus,3 metros,11000 kilos
Chaoyangsaurus,,10 kilos
Chasmosaurus,2.5 metros,3600 kilos
Chindesaurus,1 metros,50 kilos
Chinshakiangosaurus,,
Chirostenotes,1.5 metros,100 kilos
Chubutisaurus,0.91 metros,10880 kilos
Chungkingosaurus,2 metros,1361 kilos
Citipati,1.15 metros,83 kilos
Coelophysis,1.25 metros,23 kilos
Coelurus,7 metros,20 kilos
Coloradisaurus,2 metros,100 kilos
Compsognathus,3 metros,3 kilos
Conchoraptor,0.5 metros,10 kilos
Confuciusornis,0.7 metros,2 kilos
Corythosaurus,2 metros,5000 kilos
Cryolophosaurus,2.5 metros,500 kilos
Dacentrurus,2 metros,5000 kilos
Daspletosaurus,2.5-3.6 metros,3900 kilos
Datousaurus,5 metros,16000 kilos
Deinocheirus,4.9 metros,6400 kilos
Deinonychus,0.87 metros,75 kilos
Deltadromeus,9 metros,1050 kilos
Dicraeosaurus,3 metros,14000 kilos
Dilophosaurus,3 metros,300 kilos
Diplodocus,6 metros,20000 kilos
Dromaeosaurus,0.4 metros,15 kilos
Dromiceiomimus,1.4 metros,300 kilos
Dryosaurus,1.7 metros,99 kilos
Dryptosaurus,3 metros,1500 kilos
