Nombre,Altura,Peso
Gorgosaurus,4 metros,5 toneladas
Goyocephale,50 cm,30 kg
Graciliceratops,20 centímetros,2-9 kilogramos
graciliraptor,"0,60",20 kg
Gravitholus,70 cm,40 kg
Gryponyx,"1,8 metros",340 kg
Guaibasaurus,70 cm,60 kg
Gualicho,"1,7 metros",2 toneladas
Guanlong,"1,6 metros",56 kg
Guidraco venator,70 cm,12 kg
Hadrosaurio S P,Nan,Nan
Hadrosaurus,"3,2 metros","5,4 toneladas"
Hagryphus,"2,5 metros",70 kg
,Nan,Nan
Halticosaurus,"1,6 metros",500 kg
Hamititan,Nan,8 toneladas.
Haplocanthosaurus,5 metros,20 toneladas
Haplocheirus,1 metro,Nan
Harpymimus,"2,5 metros",370 kg
Heptasteornis,Nan,Nan
Herrerasaurus ischigualastensis,"1,8 metros",80 a 100 kg.
Hesperonychus,30 cm,4 kg
Hesperornithoides,Nan,Nan
Hesperosaurus,"2,5 de alto",3 toneladas
Heterodontosaurus,30 cm,17 kg
Hexing,Nan,"1,5 klg"
Hexinlusaurus,33 centímetros,12 kilogramos
Heyuannia,Nan,20 kilogramos
Hippodraco,"1,5 metros",400 kilos
Histriasaurus,"4,5 metros",Nan
Homalocephale,"1,5 metros",90 kg
Hoplitosaurus,"1,4 metros","2,5 toneladas"
Huaxiaosaurus,11 metros,16 toneladas
Huayangosaurus,"1,5 metros",840 kg
Huediesaurus,10 metros,Nan
Huehuecanauhtlus,"2,5 metros","1,5 metros"
Huinculsaurus,1 metro,Nan
Hulsanpes,60 cm,25 kg
Hungarosaurus,"1,3 metros",500 kilogramos
Hylaeosaurus,"1,8 metros",340 kg
Hypacrosaurus,"3,2 metros","4,8 toneladas"
Hypselosaurus,"2,5 metros",9 toneladas
Hypsilophodon,60 cm,43 kg
Ichthyovenator,"2,6 metros",2 toneladas
Iguanacolossus,5 metros,Nan
Iguanodon,"2,9 metros","4,6 toneladas"
,Nan,Nan
Ilokelesia,2 metros,60 kg
Imperobator,Nan,Nan
Incisivosaurus,70 centímetros,Posiblemente 30 kilos
Indosaurus,2 metros,700 kg
Indosuchus,"2,4 metros","1,6 toneladas"
Ingentia,Nan,10 toneladas
Irisosaurus,"1,5 metros",Nan
Irritator challengeri,"2,5 metros",1 tonelada
Isaberrysaura,Nan,Nan
Isanosaurus,"6,5 metros",12 toneladas
Herrerasaurus ischigualastensis,"1,8 metros",80 a 100 kg.
Ischyrosaurus,12 metros,35 toneladas
Isisaurus,5 metros,11 toneladas
Issi,Nan,Nan
Itapeuasaurus,Nan,Nan
Itemirus,70 cm,30 kg
Jainosaurus,6 metros.,20 toneladas.
Jaxartosaurus,3 metros,"2,7 toneladas"
,Nan,Nan
Jiangjunmiaosaurus,2 metros,700 kg
Jiangjunosaurus,2 metros,500 kilogramos
Jiangxisaurus,Nan,Nan
Jinbeisaurus,Nan,Nan
Jinfengopteryx,20 centímetros,2 Kilos
Jingshanosaurus,"3,6 metros",3 toneladas
Jintasaurus,Nan,Nan
Jobaria,"4,5 metros",18 toneladas
Jubbulpuria,50 cm,32 kg
